Sample,Island,Fish_Taxonomy,Host species,Trophic guild ,Tissue,Eukaryota_Alveolinidae,Eukaryota_Anomalinidae,Eukaryota_Aulacanthidae,Eukaryota_Aulacodiscaceae,Eukaryota_Bacillariaceae,Eukaryota_Bathysiphonidae,Eukaryota_Berkeleyaceae,Eukaryota_Bodonidae,Eukaryota_Bolivinitidae,Eukaryota_Buliminoididae,Eukaryota_Ceratocystidaceae,Eukaryota_Chaetocerotaceae,Eukaryota_Chilostomellidae,Eukaryota_Chordariaceae,Eukaryota_Cibicididae,Eukaryota_Condylostomatidae,Eukaryota_Coscinodiscaceae,Eukaryota_Cryptosporidiidae,Eukaryota_Cymatosiraceae,Eukaryota_Cymbaloporidae,Eukaryota_Cymbellaceae,Eukaryota_Desmarestiaceae,Eukaryota_Dictyotaceae,Eukaryota_Didymellaceae,Eukaryota_Dinophysiaceae,Eukaryota_Dorataspididae,Eukaryota_Eimeriidae,Eukaryota_Elphidiidae,Eukaryota_Enterocytozoonidae,Eukaryota_Euplotidae,Eukaryota_Fragilariaceae,Eukaryota_Gigartinaceae,Eukaryota_Glabratellidae,Eukaryota_Globigerinidae,Eukaryota_Globorotaliidae,Eukaryota_Glugeidae,Eukaryota_Goniodomataceae,Eukaryota_Gonyaulacaceae,Eukaryota_Gymnodiniaceae,Eukaryota_Hauerinidae,Eukaryota_Hemiaulaceae,Eukaryota_Hemidiscaceae,Eukaryota_Heterocapsaceae,Eukaryota_Hyalodiscaceae,Eukaryota_Hypotrichomonadidae,Eukaryota_Ichthyobodonidae,Eukaryota_Lithodesmiaceae,Eukaryota_Malasseziaceae,Eukaryota_Mastogloiaceae,Eukaryota_Mesodiniidae,Eukaryota_Mikrocytiidae,Eukaryota_Miliolidae,Eukaryota_Naviculaceae,Eukaryota_Neidiaceae,Eukaryota_Nummulitidae,Eukaryota_Odontellaceae,Eukaryota_Omphalotaceae,Eukaryota_Oodiniaceae,Eukaryota_Ostreopsidaceae,Eukaryota_Paraliaceae,Eukaryota_Peridiniaceae,Eukaryota_Pfiesteriaceae,Eukaryota_Phaeocystaceae,Eukaryota_Philasteridae,Eukaryota_Phyllostauridae,Eukaryota_Pinnulariaceae,Eukaryota_Planorbulinidae,Eukaryota_Pleurosigmataceae,Eukaryota_Protoceratiaceae,Eukaryota_Protoperidiniaceae,Eukaryota_Rhizosoleniaceae,Eukaryota_Rosalinidae,Eukaryota_Rotaliidae,Eukaryota_Sargassaceae,Eukaryota_Scytomonadidae,Eukaryota_Sellaphoraceae,Eukaryota_Simplicimonadidae,Eukaryota_Skeletonemataceae,Eukaryota_Soritidae,Eukaryota_Sphacelariaceae,Eukaryota_Sporidesmiaceae,Eukaryota_Spraguidae,Eukaryota_Staurosiraceae,Eukaryota_Stictocyclaceae,Eukaryota_Striatellaceae,Eukaryota_Suessiaceae,Eukaryota_Surirellaceae,Eukaryota_Symbiodiniaceae,Eukaryota_Syndiniaceae,Eukaryota_Tetramicriidae,Eukaryota_Thalassiosiraceae,Eukaryota_Thoracosphaeraceae,Eukaryota_Toxariaceae,Eukaryota_Triceratiaceae,Eukaryota_Trichodinidae,Eukaryota_Trypanosomatidae,Eukaryota_Ulnariaceae,Eukaryota_Unikaryonidae,Eukaryota_Vahlkampfiidae,Eukaryota_Vorticellidae,Eukaryota_Zoothamniidae
LI53_results.ccm.csv,Lizard,Acanthuridae,Acanthurus nigrofucsus,Herbivore/detritivore,Liver/Gills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RF2_results.ccm.csv,Orpheus,Acanthuridae,Acanthurus triostegus,Herbivore/detritivore,Liver/Gills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LI28_results.ccm.csv,Lizard,Acanthuridae,Ctenochaetus binotatus,Herbivore/detritivore,Liver/Gills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LI54_results.ccm.csv,Lizard,Acanthuridae,Ctenochaetus striatus,Herbivore/detritivore,Liver/Gills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LI20_results.ccm.csv,Lizard,Acanthuridae,Zebrasoma scopas,Herbivore/detritivore,Liver/Gills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RF10_results.ccm.csv,Orpheus,Blennioidei,Blenniella sp.,Herbivore/detritivore,Whole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LI19_results.ccm.csv,Lizard,Blennioidei,Crossosalarias macrospilus,Herbivore/detritivore,Whole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LI67_results.ccm.csv,Lizard,Blennioidei,Ecsenius stictus,Herbivore/detritivore,Whole,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.55,0.44,0,0,0,0,0,0,0,0,0,0,0,0,1,0.66,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0
RF18_results.ccm.csv,Orpheus,Blennioidei,Ecsenius stictus,Herbivore/detritivore,Whole,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LI39_results.ccm.csv,Lizard,Blennioidei,Plagiotremus tapeinosoma,Generalized carnivore,Whole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0
RF56_results.ccm.csv,Orpheus,Blennioidei,Salarias guttatus,Herbivore/detritivore,Whole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RF3_results.ccm.csv,Orpheus,Gobiidae,Amblygobius buanensis,Omnivore,Whole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LI76_results.ccm.csv,Lizard,Gobiidae,Amblygobius decussatus,Omnivore,Whole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0.79,0.32,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,7.07,0,0,0,0,0,0,0,0.84,0,0,0,0.6,0,0,1.23,0,0,0,0.65,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0
LI6_results.ccm.csv,Lizard,Gobiidae,Amblygobius rainfordi,Herbivore/detritivore,Whole,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LI17_results.ccm.csv,Lizard,Gobiidae,Amblygobius sp,Herbivore/detritivore,Whole,0,0,0,0,0,2.44,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,2.09,0.3,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RF6_results.ccm.csv,Orpheus,Gobiidae,Asterropteryx semipunctatus,Herbivore/detritivore,Whole,0,0,0,0.6,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0.72,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0.51,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.75,2.36,0,0,0,0,1.16,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0.6,0,0,0,0,0,0.35,0,0,0,0,0,0,0
